id,name,address,type_code,industry,port,lng,lat,pname,cityname,adname
B0FFHJ9LKC,河南地矿职业学院,通商路,科教文化服务;学校;职业技术学校,其他行业,消费端,113.851275,34.788176,河南省,郑州市,中牟县
B0HBBC5KXR,中原科技城投资促进中心,龙源东六街与龙湖内环北路交叉口西南420米,科教文化服务;会展中心;会展中心,其他行业,消费端,113.750666,34.812592,河南省,郑州市,金水区
B01730IBBW,河南豫海汽车销售有限公司,中州大道与民航路交汇处南100米路西,汽车销售;奥迪特约销售;一汽-大众奥迪销售|汽车维修;奥迪特约维修;一汽-大众奥迪维修,零售业,消费端,113.721786,34.764119,河南省,郑州市,金水区
B0H3U571Z9,迈卡汽车文创园,天河路39号,汽车销售;汽车销售;汽车销售,零售业,消费端,113.613214,34.857254,河南省,郑州市,惠济区
B01730HXXI,河南汽车贸易中心,花园北路236号(金达路地铁站C口步行310米),汽车销售;汽车销售;汽车销售,零售业,消费端,113.674405,34.86457,河南省,郑州市,惠济区
B017306A9C,河南省理工学校(茂花路),茂花路6号,科教文化服务;学校;职业技术学校|科教文化服务;学校;高等院校,其他行业,消费端,113.677858,34.803094,河南省,郑州市,金水区
B01730ISJJ,郑州索菲特国际饭店,金水路115号E座,住宿服务;宾馆酒店;五星级宾馆|餐饮服务;餐饮相关场所;餐饮相关,旅游业,消费端,113.692526,34.761908,河南省,郑州市,金水区
B0H3U571Z9,迈卡汽车文创园,天河路39号,汽车销售;汽车销售;汽车销售,零售业,消费端,113.613214,34.857254,河南省,郑州市,惠济区
B01730HXXI,河南汽车贸易中心,花园北路236号(金达路地铁站C口步行310米),汽车销售;汽车销售;汽车销售,零售业,消费端,113.674405,34.86457,河南省,郑州市,惠济区
B017306A9C,河南省理工学校(茂花路),茂花路6号,科教文化服务;学校;职业技术学校|科教文化服务;学校;高等院校,其他行业,消费端,113.677858,34.803094,河南省,郑州市,金水区
B0H0MZKOLQ,如家精选酒店(郑州东站店),心怡路与东站南街交叉口西南角,住宿服务;宾馆酒店;经济型连锁酒店,旅游业,消费端,113.773099,34.757334,河南省,郑州市,管城回族区
B01730IZRZ,河南广播电视台8号演播厅,北林路街道花园路北段8号,科教文化服务;传媒机构;电视台,其他行业,消费端,113.678356,34.844761,河南省,郑州市,金水区
B0FFG7W4UD,郑州市国防科技学校,富民路18号,科教文化服务;学校;职业技术学校,其他行业,消费端,113.540989,34.73431,河南省,郑州市,中原区
B0173082M3,河南轻工职业学院(园田校区),东风路街道园田路2号,科教文化服务;学校;成人教育,其他行业,消费端,113.65123,34.795128,河南省,郑州市,金水区
B01730IBS8,河南工程学院,桐柏路62号(桐柏北路187号院东南),科教文化服务;学校;高等院校,其他行业,制造端,113.615282,34.753008,河南省,郑州市,中原区
B0FFHF7ISR,河南司法警官职业学院东校区,金水东路166号,科教文化服务;学校;高等院校,其他行业,消费端,113.813119,34.78051,河南省,郑州市,金水区
B0FFJ4DFHF,郑州卫生健康职业学院,京襄路69号,科教文化服务;学校;高等院校,其他行业,消费端,113.413135,34.717598,河南省,郑州市,荥阳市
B0FFMATC5B,郑州美天迈迈卡名车茂店,天河路与英才街交叉口东北角迈卡名车茂B馆一楼郑州美天迈,汽车服务;二手车交易;二手车交易,其他行业,消费端,113.613334,34.856536,河南省,郑州市,惠济区
B01730HXX7,郑州师范学院西校区,英才街86号(北大学城地铁站D口步行270米),科教文化服务;学校;高等院校,其他行业,消费端,113.64763,34.863207,河南省,郑州市,惠济区
B0HKKADGU7,郑州东站正商建国饭店,圃田西路与七里河南路交汇处东南角正商国际大厦B栋27楼,住宿服务;宾馆酒店;宾馆酒店,旅游业,消费端,113.787495,34.762912,河南省,郑州市,金水区
B0FFFQ7EUV,黄河科技学院北校区,航海中路94号黄河科技大学附近,科教文化服务;学校;高等院校,其他行业,消费端,113.637763,34.721602,河南省,郑州市,二七区
B0GK7AY2DS,河南工业贸易职业学院,优胜北路4号,科教文化服务;学校;职业技术学校|科教文化服务;学校;高等院校,其他行业,消费端,113.659889,34.770137,河南省,郑州市,金水区
B0FFH00EKL,威佳汽车园区,商都路107辅(圃田西地铁站B口步行120米),汽车销售;汽车销售;汽车销售,零售业,消费端,113.789652,34.739714,河南省,郑州市,管城回族区
B017307BUQ,郑州市第二高级中学,建中街街道政通路97号,科教文化服务;学校;中学,其他行业,消费端,113.637861,34.723756,河南省,郑州市,二七区
B0IAKAEIEZ,郑州龙湖一中,中原西路与泰州路向南200米,科教文化服务;学校;中学,其他行业,消费端,113.496278,34.744169,河南省,郑州市,中原区
B01731E461,郑州幼儿师范高等专科学校(新校区),郑东新区郑开大道66号,科教文化服务;学校;高等院校,其他行业,消费端,113.855114,34.777322,河南省,郑州市,中牟县
B0173186WW,天鹅城国际饭店,郑东新区商鼎路与康平路交叉口(距离高铁郑州东站1公里),住宿服务;宾馆酒店;五星级宾馆,旅游业,消费端,113.763001,34.755533,河南省,郑州市,管城回族区
B0FFF8PODO,河南轻工职业学院嵩山校区,嵩山南路426号,科教文化服务;学校;职业技术学校|科教文化服务;学校;高等院校,其他行业,消费端,113.625212,34.668792,河南省,郑州市,二七区
B017304696,郑州市第九中学,农业路21号(农业大学地铁站B口步行300米),科教文化服务;学校;中学,其他行业,消费端,113.664661,34.788802,河南省,郑州市,金水区
